Age,Frequency
21,0.00448901
21,0.00448901
21,0.00448901
21,0.00448901
21,0.00448901
21,0.00448901
21,0.00448901
21,0.00448901
21,0.00448901
21,0.00448901
21,0.00448901
21,0.00448901
21,0.00448901
21,0.00448901
21,0.00448901
21,0.00448901
21,0.00448901
21,0.00448901
21,0.00448901
21,0.00448901
21,0.00448901
21,0.00448901
21,0.00448901
21,0.00448901
21,0.00448901
21,0.00448901
21,0.00448901
21,0.00448901
21,0.00448901
21,0.00448901
21,0.00448901
21,0.00448901
22,0.005241308
22,0.005241308
22,0.005241308
22,0.005241308
22,0.005241308
22,0.005241308
22,0.005241308
22,0.005241308
22,0.005241308
22,0.005241308
22,0.005241308
22,0.005241308
22,0.005241308
22,0.005241308
22,0.005241308
22,0.005241308
22,0.005241308
22,0.005241308
22,0.005241308
22,0.005241308
22,0.005241308
22,0.005241308
22,0.005241308
22,0.005241308
22,0.005241308
22,0.005241308
22,0.005241308
22,0.005241308
22,0.005241308
22,0.005241308
22,0.005241308
22,0.005241308
22,0.005241308
22,0.005241308
22,0.005241308
22,0.005241308
22,0.005241308
22,0.005241308
22,0.005241308
22,0.005241308
22,0.005241308
22,0.005241308
22,0.005241308
22,0.005241308
22,0.005241308
22,0.005241308
22,0.005241308
22,0.005241308
22,0.005241308
22,0.005241308
22,0.005241308
22,0.005241308
22,0.005241308
22,0.005241308
22,0.005241308
22,0.005241308
22,0.005241308
22,0.005241308
22,0.005241308
22,0.005241308
22,0.005241308
22,0.005241308
22,0.005241308
22,0.005241308
22,0.005241308
22,0.005241308
22,0.005241308
22,0.005241308
22,0.005241308
22,0.005241308
22,0.005241308
22,0.005241308
22,0.005241308
22,0.005241308
22,0.005241308
22,0.005241308
22,0.005241308
22,0.005241308
22,0.005241308
22,0.005241308
22,0.005241308
22,0.005241308
22,0.005241308
22,0.005241308
22,0.005241308
22,0.005241308
22,0.005241308
22,0.005241308
22,0.005241308
22,0.005241308
22,0.005241308
22,0.005241308
22,0.005241308
22,0.005241308
22,0.005241308
22,0.005241308
22,0.005241308
22,0.005241308
22,0.005241308
22,0.005241308
22,0.005241308
22,0.005241308
22,0.005241308
22,0.005241308
